Timestamp,TSLA,NFLX,AMZN,META
2024-07-23 10:52:59,99999,99999,99999,99999
2024-07-23 10:53:02,99999,99999,99999,99999
2024-07-23 10:53:05,99999,99999,99999,99999
2024-07-23 10:53:07,99999,99999,99999,99999
2024-07-23 10:53:09,99999,99999,99999,99999
2024-07-23 10:53:11,99999,99999,99999,99999
2024-07-23 10:53:14,99999,99999,99999,99999
2024-07-23 10:53:16,99999,99999,99999,99999
2024-07-23 10:53:17,99999,99999,99999,99999
2024-07-23 10:53:19,99999,99999,99999,99999
2024-07-23 10:53:21,99999,99999,99999,99999
2024-07-23 10:53:23,99999,99999,99999,99999
2024-07-23 10:53:25,99999,99999,99999,99999
2024-07-23 10:53:27,99999,99999,99999,99999
2024-07-23 10:53:29,99999,99999,99999,99999
2024-07-23 10:53:31,99999,99999,99999,99999
2024-07-23 10:53:32,99999,99999,99999,99999
2024-07-23 10:53:34,99999,99999,99999,99999
2024-07-23 10:53:36,99999,99999,99999,99999
2024-07-23 10:53:38,99999,99999,99999,99999
2024-07-23 10:53:40,99999,99999,99999,99999
